id,customer_id,building_id,unit_number,postal_code
ADDRESS_000000090,CUSTOMER_000000090,BUILDING_009,A1004,380009
ADDRESS_000000091,CUSTOMER_000000091,BUILDING_001,A803,440015
ADDRESS_000000092,CUSTOMER_000000092,BUILDING_002,B304,440015
ADDRESS_000000093,CUSTOMER_000000093,BUILDING_001,A601,440015
ADDRESS_000000094,CUSTOMER_000000094,BUILDING_001,A204,440015
ADDRESS_000000095,CUSTOMER_000000095,BUILDING_007,A802,440010
ADDRESS_000000096,CUSTOMER_000000096,BUILDING_009,A403,380009
ADDRESS_000000097,CUSTOMER_000000097,BUILDING_010,A801,560066
ADDRESS_000000098,CUSTOMER_000000098,BUILDING_001,A201,440015
ADDRESS_000000099,CUSTOMER_000000099,BUILDING_003,C204,440015
ADDRESS_000000100,CUSTOMER_000000100,BUILDING_009,A103,380009
ADDRESS_000000101,CUSTOMER_000000101,BUILDING_002,B402,440015
ADDRESS_000000102,CUSTOMER_000000102,BUILDING_005,B604,440015
ADDRESS_000000103,CUSTOMER_000000103,BUILDING_001,A701,440015
ADDRESS_000000104,CUSTOMER_000000104,BUILDING_010,A1202,560066
ADDRESS_000000105,CUSTOMER_000000105,BUILDING_003,C504,440015
ADDRESS_000000106,CUSTOMER_000000106,BUILDING_008,A703,411038
ADDRESS_000000107,CUSTOMER_000000107,BUILDING_009,A801,380009
ADDRESS_000000108,CUSTOMER_000000108,BUILDING_003,C104,440015
ADDRESS_000000109,CUSTOMER_000000109,BUILDING_007,A401,440010
ADDRESS_000000110,CUSTOMER_000000110,BUILDING_007,A1001,440010
ADDRESS_000000111,CUSTOMER_000000111,BUILDING_005,B603,440015
ADDRESS_000000112,CUSTOMER_000000112,BUILDING_004,A303,440015
ADDRESS_000000113,CUSTOMER_000000113,BUILDING_009,A303,380009
ADDRESS_000000114,CUSTOMER_000000114,BUILDING_001,A804,440015
ADDRESS_000000115,CUSTOMER_000000115,BUILDING_004,A601,440015
ADDRESS_000000116,CUSTOMER_000000116,BUILDING_008,A704,411038
ADDRESS_000000117,CUSTOMER_000000117,BUILDING_010,A1503,560066
ADDRESS_000000118,CUSTOMER_000000118,BUILDING_008,A702,411038
ADDRESS_000000119,CUSTOMER_000000119,BUILDING_008,A802,411038
ADDRESS_000000120,CUSTOMER_000000120,BUILDING_002,B201,440015
ADDRESS_000000121,CUSTOMER_000000121,BUILDING_007,A901,440010
ADDRESS_000000122,CUSTOMER_000000122,BUILDING_008,A204,411038
ADDRESS_000000123,CUSTOMER_000000123,BUILDING_001,A702,440015
ADDRESS_000000124,CUSTOMER_000000124,BUILDING_009,A904,380009
ADDRESS_000000125,CUSTOMER_000000125,BUILDING_005,B303,440015
ADDRESS_000000126,CUSTOMER_000000126,BUILDING_004,A203,440015
ADDRESS_000000127,CUSTOMER_000000127,BUILDING_010,A404,560066
ADDRESS_000000128,CUSTOMER_000000128,BUILDING_001,A404,440015
ADDRESS_000000129,CUSTOMER_000000129,BUILDING_003,C304,440015
ADDRESS_000000130,CUSTOMER_000000130,BUILDING_008,A502,411038
ADDRESS_000000131,CUSTOMER_000000131,BUILDING_010,A104,560066
ADDRESS_000000132,CUSTOMER_000000132,BUILDING_007,A1203,440010
ADDRESS_000000133,CUSTOMER_000000133,BUILDING_006,A903,440015
ADDRESS_000000134,CUSTOMER_000000134,BUILDING_009,A702,380009
ADDRESS_000000135,CUSTOMER_000000135,BUILDING_009,A802,380009
ADDRESS_000000136,CUSTOMER_000000136,BUILDING_001,A403,440015
ADDRESS_000000137,CUSTOMER_000000137,BUILDING_008,A204,411038
ADDRESS_000000138,CUSTOMER_000000138,BUILDING_002,B301,440015
ADDRESS_000000139,CUSTOMER_000000139,BUILDING_003,C204,440015
ADDRESS_000000140,CUSTOMER_000000140,BUILDING_010,A1203,560066
ADDRESS_000000141,CUSTOMER_000000141,BUILDING_003,C202,440015
ADDRESS_000000142,CUSTOMER_000000142,BUILDING_005,B602,440015
ADDRESS_000000143,CUSTOMER_000000143,BUILDING_008,A102,411038
ADDRESS_000000144,CUSTOMER_000000144,BUILDING_002,B602,440015
ADDRESS_000000145,CUSTOMER_000000145,BUILDING_007,A402,440010
ADDRESS_000000146,CUSTOMER_000000146,BUILDING_002,B702,440015
ADDRESS_000000147,CUSTOMER_000000147,BUILDING_007,A204,440010
ADDRESS_000000148,CUSTOMER_000000148,BUILDING_001,A203,440015
ADDRESS_000000149,CUSTOMER_000000149,BUILDING_001,A301,440015
ADDRESS_000000150,CUSTOMER_000000150,BUILDING_007,A704,440010
ADDRESS_000000151,CUSTOMER_000000151,BUILDING_003,C801,440015
ADDRESS_000000152,CUSTOMER_000000152,BUILDING_006,A704,440015
ADDRESS_000000153,CUSTOMER_000000153,BUILDING_001,A803,440015
ADDRESS_000000154,CUSTOMER_000000154,BUILDING_006,A803,440015
ADDRESS_000000155,CUSTOMER_000000155,BUILDING_009,A804,380009
ADDRESS_000000156,CUSTOMER_000000156,BUILDING_010,A1404,560066
ADDRESS_000000157,CUSTOMER_000000157,BUILDING_010,A302,560066
ADDRESS_000000158,CUSTOMER_000000158,BUILDING_007,A104,440010
ADDRESS_000000159,CUSTOMER_000000159,BUILDING_006,A304,440015
ADDRESS_000000160,CUSTOMER_000000160,BUILDING_002,B101,440015
ADDRESS_000000161,CUSTOMER_000000161,BUILDING_010,A1004,560066
ADDRESS_000000162,CUSTOMER_000000162,BUILDING_002,B503,440015
ADDRESS_000000163,CUSTOMER_000000163,BUILDING_010,A1304,560066
ADDRESS_000000164,CUSTOMER_000000164,BUILDING_004,A404,440015
ADDRESS_000000165,CUSTOMER_000000165,BUILDING_007,A803,440010
ADDRESS_000000166,CUSTOMER_000000166,BUILDING_001,A303,440015
ADDRESS_000000167,CUSTOMER_000000167,BUILDING_007,A203,440010
ADDRESS_000000168,CUSTOMER_000000168,BUILDING_008,A101,411038
ADDRESS_000000169,CUSTOMER_000000169,BUILDING_010,A404,560066
ADDRESS_000000170,CUSTOMER_000000170,BUILDING_002,B402,440015
ADDRESS_000000171,CUSTOMER_000000171,BUILDING_010,A1401,560066
ADDRESS_000000172,CUSTOMER_000000172,BUILDING_006,A1004,440015
ADDRESS_000000173,CUSTOMER_000000173,BUILDING_008,A101,411038
ADDRESS_000000174,CUSTOMER_000000174,BUILDING_002,B401,440015
ADDRESS_000000175,CUSTOMER_000000175,BUILDING_009,A704,380009
ADDRESS_000000176,CUSTOMER_000000176,BUILDING_008,A604,411038
ADDRESS_000000177,CUSTOMER_000000177,BUILDING_001,A104,440015
ADDRESS_000000178,CUSTOMER_000000178,BUILDING_010,A602,560066
ADDRESS_000000179,CUSTOMER_000000179,BUILDING_008,A302,411038
ADDRESS_000000180,CUSTOMER_000000180,BUILDING_004,A604,440015
ADDRESS_000000181,CUSTOMER_000000181,BUILDING_008,A103,411038
ADDRESS_000000182,CUSTOMER_000000182,BUILDING_010,A302,560066
ADDRESS_000000183,CUSTOMER_000000183,BUILDING_009,A901,380009
ADDRESS_000000184,CUSTOMER_000000184,BUILDING_007,A901,440010
ADDRESS_000000185,CUSTOMER_000000185,BUILDING_005,B201,440015
ADDRESS_000000186,CUSTOMER_000000186,BUILDING_001,A402,440015
ADDRESS_000000187,CUSTOMER_000000187,BUILDING_005,B603,440015
ADDRESS_000000188,CUSTOMER_000000188,BUILDING_002,B101,440015
ADDRESS_000000189,CUSTOMER_000000189,BUILDING_004,A203,440015
ADDRESS_000000190,CUSTOMER_000000190,BUILDING_003,C802,440015
ADDRESS_000000191,CUSTOMER_000000191,BUILDING_006,A701,440015
ADDRESS_000000192,CUSTOMER_000000192,BUILDING_005,B102,440015
ADDRESS_000000193,CUSTOMER_000000193,BUILDING_002,B503,440015
ADDRESS_000000194,CUSTOMER_000000194,BUILDING_004,A403,440015
ADDRESS_000000195,CUSTOMER_000000195,BUILDING_004,A303,440015
ADDRESS_000000196,CUSTOMER_000000196,BUILDING_008,A304,411038
ADDRESS_000000197,CUSTOMER_000000197,BUILDING_006,A303,440015
ADDRESS_000000198,CUSTOMER_000000198,BUILDING_001,A403,440015
ADDRESS_000000199,CUSTOMER_000000199,BUILDING_004,A504,440015
ADDRESS_000000200,CUSTOMER_000000200,BUILDING_005,B102,440015
ADDRESS_000000201,CUSTOMER_000000201,BUILDING_001,A102,440015
ADDRESS_000000202,CUSTOMER_000000202,BUILDING_010,A1202,560066
ADDRESS_000000203,CUSTOMER_000000203,BUILDING_008,A401,411038
ADDRESS_000000204,CUSTOMER_000000204,BUILDING_006,A301,440015
ADDRESS_000000205,CUSTOMER_000000205,BUILDING_006,A703,440015
ADDRESS_000000206,CUSTOMER_000000206,BUILDING_009,A103,380009
ADDRESS_000000207,CUSTOMER_000000207,BUILDING_006,A504,440015
ADDRESS_000000208,CUSTOMER_000000208,BUILDING_003,C401,440015
ADDRESS_000000209,CUSTOMER_000000209,BUILDING_002,B603,440015
ADDRESS_000000210,CUSTOMER_000000210,BUILDING_001,A701,440015
ADDRESS_000000211,CUSTOMER_000000211,BUILDING_009,A902,380009
ADDRESS_000000212,CUSTOMER_000000212,BUILDING_008,A701,411038
ADDRESS_000000213,CUSTOMER_000000213,BUILDING_009,A302,380009
ADDRESS_000000214,CUSTOMER_000000214,BUILDING_001,A501,440015
ADDRESS_000000215,CUSTOMER_000000215,BUILDING_001,A302,440015
ADDRESS_000000216,CUSTOMER_000000216,BUILDING_009,A604,380009
ADDRESS_000000217,CUSTOMER_000000217,BUILDING_001,A501,440015
ADDRESS_000000218,CUSTOMER_000000218,BUILDING_006,A602,440015
ADDRESS_000000219,CUSTOMER_000000219,BUILDING_006,A603,440015
ADDRESS_000000220,CUSTOMER_000000220,BUILDING_007,A104,440010
ADDRESS_000000221,CUSTOMER_000000221,BUILDING_010,A502,560066
ADDRESS_000000222,CUSTOMER_000000222,BUILDING_008,A703,411038
ADDRESS_000000223,CUSTOMER_000000223,BUILDING_007,A1203,440010
ADDRESS_000000224,CUSTOMER_000000224,BUILDING_003,C704,440015
ADDRESS_000000225,CUSTOMER_000000225,BUILDING_006,A801,440015
ADDRESS_000000226,CUSTOMER_000000226,BUILDING_007,A603,440010
ADDRESS_000000227,CUSTOMER_000000227,BUILDING_001,A403,440015
ADDRESS_000000228,CUSTOMER_000000228,BUILDING_009,A1003,380009
ADDRESS_000000229,CUSTOMER_000000229,BUILDING_010,A602,560066
ADDRESS_000000230,CUSTOMER_000000230,BUILDING_008,A402,411038
ADDRESS_000000231,CUSTOMER_000000231,BUILDING_003,C203,440015
ADDRESS_000000232,CUSTOMER_000000232,BUILDING_009,A403,380009
ADDRESS_000000233,CUSTOMER_000000233,BUILDING_003,C403,440015
ADDRESS_000000234,CUSTOMER_000000234,BUILDING_010,A102,560066
ADDRESS_000000235,CUSTOMER_000000235,BUILDING_003,C502,440015
ADDRESS_000000236,CUSTOMER_000000236,BUILDING_010,A1102,560066
ADDRESS_000000237,CUSTOMER_000000237,BUILDING_009,A701,380009
ADDRESS_000000238,CUSTOMER_000000238,BUILDING_007,A202,440010
ADDRESS_000000239,CUSTOMER_000000239,BUILDING_010,A401,560066
ADDRESS_000000240,CUSTOMER_000000240,BUILDING_005,B503,440015
ADDRESS_000000241,CUSTOMER_000000241,BUILDING_003,C803,440015
ADDRESS_000000242,CUSTOMER_000000242,BUILDING_008,A402,411038
ADDRESS_000000243,CUSTOMER_000000243,BUILDING_005,B104,440015
ADDRESS_000000244,CUSTOMER_000000244,BUILDING_002,B601,440015
ADDRESS_000000245,CUSTOMER_000000245,BUILDING_003,C502,440015
ADDRESS_000000246,CUSTOMER_000000246,BUILDING_007,A301,440010
ADDRESS_000000247,CUSTOMER_000000247,BUILDING_004,A104,440015
ADDRESS_000000248,CUSTOMER_000000248,BUILDING_005,B303,440015
ADDRESS_000000249,CUSTOMER_000000249,BUILDING_001,A204,440015
ADDRESS_000000250,CUSTOMER_000000250,BUILDING_004,A301,440015
ADDRESS_000000251,CUSTOMER_000000251,BUILDING_007,A1203,440010
ADDRESS_000000252,CUSTOMER_000000252,BUILDING_006,A701,440015
ADDRESS_000000253,CUSTOMER_000000253,BUILDING_004,A104,440015
ADDRESS_000000254,CUSTOMER_000000254,BUILDING_008,A703,411038
ADDRESS_000000255,CUSTOMER_000000255,BUILDING_008,A102,411038
ADDRESS_000000256,CUSTOMER_000000256,BUILDING_008,A502,411038
ADDRESS_000000257,CUSTOMER_000000257,BUILDING_003,C501,440015
ADDRESS_000000258,CUSTOMER_000000258,BUILDING_009,A601,380009
ADDRESS_000000259,CUSTOMER_000000259,BUILDING_001,A401,440015
ADDRESS_000000260,CUSTOMER_000000260,BUILDING_002,B702,440015
ADDRESS_000000261,CUSTOMER_000000261,BUILDING_002,B401,440015
ADDRESS_000000262,CUSTOMER_000000262,BUILDING_005,B303,440015
ADDRESS_000000263,CUSTOMER_000000263,BUILDING_008,A103,411038
ADDRESS_000000264,CUSTOMER_000000264,BUILDING_003,C602,440015
ADDRESS_000000265,CUSTOMER_000000265,BUILDING_010,A301,560066
ADDRESS_000000266,CUSTOMER_000000266,BUILDING_008,A801,411038
ADDRESS_000000267,CUSTOMER_000000267,BUILDING_003,C404,440015
ADDRESS_000000268,CUSTOMER_000000268,BUILDING_003,C204,440015
ADDRESS_000000269,CUSTOMER_000000269,BUILDING_004,A302,440015
ADDRESS_000000270,CUSTOMER_000000270,BUILDING_008,A403,411038
ADDRESS_000000271,CUSTOMER_000000271,BUILDING_004,A104,440015
ADDRESS_000000272,CUSTOMER_000000272,BUILDING_009,A703,380009
ADDRESS_000000273,CUSTOMER_000000273,BUILDING_001,A401,440015
ADDRESS_000000274,CUSTOMER_000000274,BUILDING_008,A102,411038
ADDRESS_000000275,CUSTOMER_000000275,BUILDING_007,A1101,440010
ADDRESS_000000276,CUSTOMER_000000276,BUILDING_010,A703,560066
ADDRESS_000000277,CUSTOMER_000000277,BUILDING_004,A301,440015
ADDRESS_000000278,CUSTOMER_000000278,BUILDING_005,B404,440015
ADDRESS_000000279,CUSTOMER_000000279,BUILDING_010,A404,560066
ADDRESS_000000280,CUSTOMER_000000280,BUILDING_009,A502,380009
ADDRESS_000000281,CUSTOMER_000000281,BUILDING_009,A202,380009
ADDRESS_000000282,CUSTOMER_000000282,BUILDING_004,A604,440015
ADDRESS_000000283,CUSTOMER_000000283,BUILDING_006,A702,440015
ADDRESS_000000284,CUSTOMER_000000284,BUILDING_003,C701,440015
ADDRESS_000000285,CUSTOMER_000000285,BUILDING_004,A502,440015
ADDRESS_000000286,CUSTOMER_000000286,BUILDING_004,A303,440015
ADDRESS_000000287,CUSTOMER_000000287,BUILDING_009,A1004,380009
ADDRESS_000000288,CUSTOMER_000000288,BUILDING_009,A302,380009
ADDRESS_000000289,CUSTOMER_000000289,BUILDING_006,A1003,440015
ADDRESS_000000290,CUSTOMER_000000290,BUILDING_001,A603,440015
ADDRESS_000000291,CUSTOMER_000000291,BUILDING_005,B501,440015
ADDRESS_000000292,CUSTOMER_000000292,BUILDING_001,A301,440015
ADDRESS_000000293,CUSTOMER_000000293,BUILDING_006,A102,440015
ADDRESS_000000294,CUSTOMER_000000294,BUILDING_001,A101,440015
ADDRESS_000000295,CUSTOMER_000000295,BUILDING_004,A604,440015
ADDRESS_000000296,CUSTOMER_000000296,BUILDING_002,B603,440015
ADDRESS_000000297,CUSTOMER_000000297,BUILDING_006,A903,440015
ADDRESS_000000298,CUSTOMER_000000298,BUILDING_005,B302,440015
ADDRESS_000000299,CUSTOMER_000000299,BUILDING_003,C502,440015
ADDRESS_000000300,CUSTOMER_000000300,BUILDING_009,A803,380009
ADDRESS_000000301,CUSTOMER_000000301,BUILDING_007,A204,440010
ADDRESS_000000302,CUSTOMER_000000302,BUILDING_001,A801,440015
ADDRESS_000000303,CUSTOMER_000000303,BUILDING_006,A801,440015
ADDRESS_000000304,CUSTOMER_000000304,BUILDING_004,A402,440015
ADDRESS_000000305,CUSTOMER_000000305,BUILDING_002,B301,440015
ADDRESS_000000306,CUSTOMER_000000306,BUILDING_001,A503,440015
ADDRESS_000000307,CUSTOMER_000000307,BUILDING_003,C401,440015
ADDRESS_000000308,CUSTOMER_000000308,BUILDING_003,C303,440015
ADDRESS_000000309,CUSTOMER_000000309,BUILDING_005,B204,440015
ADDRESS_000000310,CUSTOMER_000000310,BUILDING_010,A1504,560066
ADDRESS_000000311,CUSTOMER_000000311,BUILDING_002,B504,440015
ADDRESS_000000312,CUSTOMER_000000312,BUILDING_008,A401,411038
ADDRESS_000000313,CUSTOMER_000000313,BUILDING_008,A503,411038
ADDRESS_000000314,CUSTOMER_000000314,BUILDING_003,C803,440015
ADDRESS_000000315,CUSTOMER_000000315,BUILDING_008,A501,411038
ADDRESS_000000316,CUSTOMER_000000316,BUILDING_010,A603,560066
ADDRESS_000000317,CUSTOMER_000000317,BUILDING_009,A303,380009
ADDRESS_000000318,CUSTOMER_000000318,BUILDING_006,A104,440015
ADDRESS_000000319,CUSTOMER_000000319,BUILDING_008,A302,411038
ADDRESS_000000320,CUSTOMER_000000320,BUILDING_009,A303,380009
ADDRESS_000000321,CUSTOMER_000000321,BUILDING_004,A404,440015
ADDRESS_000000322,CUSTOMER_000000322,BUILDING_004,A403,440015
ADDRESS_000000323,CUSTOMER_000000323,BUILDING_001,A803,440015
ADDRESS_000000324,CUSTOMER_000000324,BUILDING_004,A303,440015
ADDRESS_000000325,CUSTOMER_000000325,BUILDING_004,A204,440015
ADDRESS_000000326,CUSTOMER_000000326,BUILDING_009,A804,380009
ADDRESS_000000327,CUSTOMER_000000327,BUILDING_007,A201,440010
ADDRESS_000000328,CUSTOMER_000000328,BUILDING_001,A302,440015
ADDRESS_000000329,CUSTOMER_000000329,BUILDING_004,A404,440015
ADDRESS_000000330,CUSTOMER_000000330,BUILDING_001,A403,440015
ADDRESS_000000331,CUSTOMER_000000331,BUILDING_003,C104,440015
ADDRESS_000000332,CUSTOMER_000000332,BUILDING_003,C801,440015
ADDRESS_000000333,CUSTOMER_000000333,BUILDING_007,A701,440010
ADDRESS_000000334,CUSTOMER_000000334,BUILDING_006,A1004,440015
ADDRESS_000000335,CUSTOMER_000000335,BUILDING_003,C803,440015
ADDRESS_000000336,CUSTOMER_000000336,BUILDING_008,A503,411038
ADDRESS_000000337,CUSTOMER_000000337,BUILDING_007,A101,440010
ADDRESS_000000338,CUSTOMER_000000338,BUILDING_007,A603,440010
ADDRESS_000000339,CUSTOMER_000000339,BUILDING_004,A203,440015
ADDRESS_000000340,CUSTOMER_000000340,BUILDING_003,C504,440015
ADDRESS_000000341,CUSTOMER_000000341,BUILDING_010,A1204,560066
ADDRESS_000000342,CUSTOMER_000000342,BUILDING_010,A1304,560066
ADDRESS_000000343,CUSTOMER_000000343,BUILDING_008,A204,411038
ADDRESS_000000344,CUSTOMER_000000344,BUILDING_010,A1103,560066
ADDRESS_000000345,CUSTOMER_000000345,BUILDING_007,A1101,440010
ADDRESS_000000346,CUSTOMER_000000346,BUILDING_003,C503,440015
ADDRESS_000000347,CUSTOMER_000000347,BUILDING_002,B601,440015
ADDRESS_000000348,CUSTOMER_000000348,BUILDING_003,C801,440015
ADDRESS_000000349,CUSTOMER_000000349,BUILDING_010,A1202,560066
ADDRESS_000000350,CUSTOMER_000000350,BUILDING_010,A1202,560066
ADDRESS_000000351,CUSTOMER_000000351,BUILDING_001,A402,440015
ADDRESS_000000352,CUSTOMER_000000352,BUILDING_008,A503,411038
ADDRESS_000000353,CUSTOMER_000000353,BUILDING_003,C201,440015
ADDRESS_000000354,CUSTOMER_000000354,BUILDING_005,B502,440015
ADDRESS_000000355,CUSTOMER_000000355,BUILDING_008,A603,411038
ADDRESS_000000356,CUSTOMER_000000356,BUILDING_006,A201,440015
ADDRESS_000000357,CUSTOMER_000000357,BUILDING_005,B101,440015
ADDRESS_000000358,CUSTOMER_000000358,BUILDING_007,A1101,440010
ADDRESS_000000359,CUSTOMER_000000359,BUILDING_009,A903,380009
ADDRESS_000000360,CUSTOMER_000000360,BUILDING_005,B602,440015
ADDRESS_000000361,CUSTOMER_000000361,BUILDING_006,A802,440015
ADDRESS_000000362,CUSTOMER_000000362,BUILDING_010,A203,560066
ADDRESS_000000363,CUSTOMER_000000363,BUILDING_004,A502,440015
ADDRESS_000000364,CUSTOMER_000000364,BUILDING_005,B403,440015
ADDRESS_000000365,CUSTOMER_000000365,BUILDING_005,B602,440015
ADDRESS_000000366,CUSTOMER_000000366,BUILDING_010,A602,560066
ADDRESS_000000367,CUSTOMER_000000367,BUILDING_005,B204,440015
ADDRESS_000000368,CUSTOMER_000000368,BUILDING_004,A404,440015
ADDRESS_000000369,CUSTOMER_000000369,BUILDING_008,A303,411038
ADDRESS_000000370,CUSTOMER_000000370,BUILDING_001,A202,440015
ADDRESS_000000371,CUSTOMER_000000371,BUILDING_002,B202,440015
ADDRESS_000000372,CUSTOMER_000000372,BUILDING_002,B403,440015
ADDRESS_000000373,CUSTOMER_000000373,BUILDING_006,A501,440015
ADDRESS_000000374,CUSTOMER_000000374,BUILDING_005,B103,440015
ADDRESS_000000375,CUSTOMER_000000375,BUILDING_006,A904,440015
ADDRESS_000000376,CUSTOMER_000000376,BUILDING_004,A104,440015
