id,order_id,payment_method,payment_status,amount,payment_date
ORDER_000000036_PAYMENT,ORDER_000000036,DEBIT_CARD,SUCCESS,68551.08,2026-04-15T04:32:03
ORDER_000000037_PAYMENT,ORDER_000000037,UPI,SUCCESS,51290.99,2026-02-28T20:10:49
ORDER_000000038_PAYMENT,ORDER_000000038,CREDIT_CARD,SUCCESS,19166.14,2026-05-05T19:31:28
ORDER_000000039_PAYMENT,ORDER_000000039,WALLET,SUCCESS,68731.88,2026-04-01T09:53:01
ORDER_000000040_PAYMENT,ORDER_000000040,CREDIT_CARD,SUCCESS,162808.75,2026-05-30T08:33:10
ORDER_000000041_PAYMENT,ORDER_000000041,UPI,SUCCESS,35301.19,2026-03-23T21:16:54
ORDER_000000042_PAYMENT,ORDER_000000042,UPI,SUCCESS,841607.82,2026-09-29T13:57:32
ORDER_000000043_PAYMENT,ORDER_000000043,UPI,SUCCESS,13474.98,2026-07-10T09:49:09
ORDER_000000044_PAYMENT,ORDER_000000044,NET_BANKING,SUCCESS,407170.74,2026-04-30T16:27:04
ORDER_000000045_PAYMENT,ORDER_000000045,UPI,SUCCESS,57627.36,2026-02-04T22:40:40
ORDER_000000046_PAYMENT,ORDER_000000046,CREDIT_CARD,SUCCESS,87261.90,2026-07-14T23:48:11
ORDER_000000047_PAYMENT,ORDER_000000047,WALLET,SUCCESS,134956.42,2026-10-08T21:45:08
ORDER_000000048_PAYMENT,ORDER_000000048,UPI,SUCCESS,372551.61,2026-12-11T19:32:52
ORDER_000000049_PAYMENT,ORDER_000000049,UPI,SUCCESS,100812.11,2026-09-25T01:09:36
ORDER_000000050_PAYMENT,ORDER_000000050,UPI,SUCCESS,287119.20,2026-09-19T22:36:33
ORDER_000000051_PAYMENT,ORDER_000000051,CREDIT_CARD,SUCCESS,226002.28,2026-01-12T07:40:53
ORDER_000000052_PAYMENT,ORDER_000000052,CREDIT_CARD,SUCCESS,21093.45,2026-12-12T01:49:25
ORDER_000000053_PAYMENT,ORDER_000000053,DEBIT_CARD,SUCCESS,189057.00,2026-07-05T17:49:29
ORDER_000000054_PAYMENT,ORDER_000000054,WALLET,SUCCESS,164023.04,2026-06-16T09:09:34
ORDER_000000055_PAYMENT,ORDER_000000055,WALLET,SUCCESS,160481.24,2026-07-24T18:15:35
ORDER_000000056_PAYMENT,ORDER_000000056,UPI,SUCCESS,11480.71,2026-04-12T03:09:57
ORDER_000000057_PAYMENT,ORDER_000000057,UPI,SUCCESS,57401.40,2026-01-16T14:24:59
ORDER_000000058_PAYMENT,ORDER_000000058,CREDIT_CARD,SUCCESS,78057.58,2026-03-22T00:48:55
ORDER_000000059_PAYMENT,ORDER_000000059,WALLET,SUCCESS,186710.61,2026-04-04T11:46:40
ORDER_000000060_PAYMENT,ORDER_000000060,UPI,SUCCESS,16403.91,2026-06-06T09:40:41
ORDER_000000061_PAYMENT,ORDER_000000061,UPI,SUCCESS,49026.69,2026-03-07T23:40:42
ORDER_000000062_PAYMENT,ORDER_000000062,UPI,SUCCESS,218040.69,2026-02-07T17:41:52
ORDER_000000063_PAYMENT,ORDER_000000063,DEBIT_CARD,SUCCESS,385499.86,2026-06-22T20:50:54
ORDER_000000064_PAYMENT,ORDER_000000064,UPI,SUCCESS,331565.85,2026-11-26T06:42:53
ORDER_000000065_PAYMENT,ORDER_000000065,CREDIT_CARD,SUCCESS,89398.28,2026-07-19T07:15:30
ORDER_000000066_PAYMENT,ORDER_000000066,UPI,SUCCESS,12785.94,2026-08-10T19:16:44
ORDER_000000067_PAYMENT,ORDER_000000067,CREDIT_CARD,SUCCESS,38985.96,2026-11-05T12:07:27
ORDER_000000068_PAYMENT,ORDER_000000068,NET_BANKING,SUCCESS,21897.17,2026-11-13T21:28:37
ORDER_000000069_PAYMENT,ORDER_000000069,CREDIT_CARD,SUCCESS,1492.95,2026-04-04T11:07:37
ORDER_000000070_PAYMENT,ORDER_000000070,WALLET,SUCCESS,278255.61,2026-08-25T14:23:50
ORDER_000000071_PAYMENT,ORDER_000000071,UPI,SUCCESS,712176.90,2026-09-29T16:33:05
ORDER_000000072_PAYMENT,ORDER_000000072,CREDIT_CARD,SUCCESS,56147.06,2026-02-15T14:56:51
ORDER_000000073_PAYMENT,ORDER_000000073,WALLET,SUCCESS,1277092.65,2026-03-23T07:52:31
ORDER_000000074_PAYMENT,ORDER_000000074,UPI,SUCCESS,270908.87,2026-05-31T09:52:20
ORDER_000000075_PAYMENT,ORDER_000000075,CREDIT_CARD,SUCCESS,11194.35,2026-10-07T00:33:40
ORDER_000000076_PAYMENT,ORDER_000000076,UPI,SUCCESS,616966.46,2026-07-29T00:31:10
ORDER_000000077_PAYMENT,ORDER_000000077,DEBIT_CARD,SUCCESS,13920.09,2026-03-10T08:10:53
ORDER_000000078_PAYMENT,ORDER_000000078,WALLET,SUCCESS,453202.80,2026-01-18T16:41:30
ORDER_000000079_PAYMENT,ORDER_000000079,WALLET,SUCCESS,137403.95,2026-10-22T17:46:30
ORDER_000000080_PAYMENT,ORDER_000000080,UPI,SUCCESS,102901.72,2026-08-03T14:50:40
ORDER_000000081_PAYMENT,ORDER_000000081,WALLET,SUCCESS,65570.01,2026-10-02T11:18:57
ORDER_000000082_PAYMENT,ORDER_000000082,UPI,SUCCESS,189601.50,2026-12-26T09:34:12
ORDER_000000083_PAYMENT,ORDER_000000083,UPI,SUCCESS,408088.73,2026-12-03T13:55:55
ORDER_000000084_PAYMENT,ORDER_000000084,UPI,SUCCESS,267539.33,2026-09-21T20:40:25
ORDER_000000085_PAYMENT,ORDER_000000085,WALLET,FAILED,92291.32,2026-08-28T18:47:50
ORDER_000000086_PAYMENT,ORDER_000000086,UPI,SUCCESS,220880.43,2026-01-12T15:48:56
ORDER_000000087_PAYMENT,ORDER_000000087,WALLET,SUCCESS,329163.04,2026-12-05T12:43:34
ORDER_000000088_PAYMENT,ORDER_000000088,UPI,SUCCESS,58980.32,2026-04-10T12:01:19
ORDER_000000089_PAYMENT,ORDER_000000089,DEBIT_CARD,SUCCESS,147070.59,2026-12-25T17:25:32
ORDER_000000090_PAYMENT,ORDER_000000090,UPI,SUCCESS,67229.70,2026-05-13T11:31:07
ORDER_000000091_PAYMENT,ORDER_000000091,UPI,SUCCESS,717943.97,2026-04-02T21:11:01
ORDER_000000092_PAYMENT,ORDER_000000092,CREDIT_CARD,SUCCESS,617290.99,2026-06-28T09:32:13
ORDER_000000093_PAYMENT,ORDER_000000093,DEBIT_CARD,SUCCESS,439270.61,2026-11-21T23:06:48
ORDER_000000094_PAYMENT,ORDER_000000094,NET_BANKING,SUCCESS,16594.81,2026-11-21T06:48:48
ORDER_000000095_PAYMENT,ORDER_000000095,NET_BANKING,SUCCESS,537240.23,2026-02-09T07:43:47
ORDER_000000096_PAYMENT,ORDER_000000096,CREDIT_CARD,SUCCESS,4064.28,2026-12-18T02:12:38
ORDER_000000097_PAYMENT,ORDER_000000097,CREDIT_CARD,SUCCESS,616871.49,2026-05-14T20:39:56
ORDER_000000098_PAYMENT,ORDER_000000098,CREDIT_CARD,FAILED,12772.26,2026-07-04T17:02:38
ORDER_000000099_PAYMENT,ORDER_000000099,UPI,SUCCESS,288761.88,2026-02-28T04:09:22
ORDER_000000100_PAYMENT,ORDER_000000100,CREDIT_CARD,SUCCESS,14417.40,2026-12-26T21:42:10
ORDER_000000101_PAYMENT,ORDER_000000101,NET_BANKING,SUCCESS,4783.12,2026-11-22T01:07:12
ORDER_000000102_PAYMENT,ORDER_000000102,UPI,SUCCESS,269567.15,2026-06-12T03:44:47
ORDER_000000103_PAYMENT,ORDER_000000103,UPI,SUCCESS,36254.43,2026-06-19T16:56:15
ORDER_000000104_PAYMENT,ORDER_000000104,NET_BANKING,SUCCESS,3925.71,2026-09-05T15:55:54
ORDER_000000105_PAYMENT,ORDER_000000105,CREDIT_CARD,SUCCESS,29419.43,2026-03-07T10:25:20
ORDER_000000106_PAYMENT,ORDER_000000106,UPI,SUCCESS,540666.82,2026-09-21T02:32:30
ORDER_000000107_PAYMENT,ORDER_000000107,UPI,SUCCESS,1883.81,2026-06-14T08:59:29
ORDER_000000108_PAYMENT,ORDER_000000108,NET_BANKING,SUCCESS,10761.24,2026-03-14T08:41:42
ORDER_000000109_PAYMENT,ORDER_000000109,DEBIT_CARD,SUCCESS,102888.59,2026-03-18T10:21:34
ORDER_000000110_PAYMENT,ORDER_000000110,UPI,SUCCESS,749182.22,2026-05-16T22:50:05
ORDER_000000111_PAYMENT,ORDER_000000111,DEBIT_CARD,SUCCESS,311753.90,2026-03-11T05:49:32
ORDER_000000112_PAYMENT,ORDER_000000112,UPI,SUCCESS,315739.25,2026-01-21T19:23:16
ORDER_000000113_PAYMENT,ORDER_000000113,WALLET,SUCCESS,225229.43,2026-08-11T01:27:25
ORDER_000000114_PAYMENT,ORDER_000000114,WALLET,SUCCESS,31792.83,2026-02-26T14:06:45
ORDER_000000115_PAYMENT,ORDER_000000115,DEBIT_CARD,FAILED,109695.75,2026-03-04T15:04:41
ORDER_000000116_PAYMENT,ORDER_000000116,UPI,SUCCESS,193808.32,2026-08-16T21:19:09
ORDER_000000117_PAYMENT,ORDER_000000117,UPI,SUCCESS,271593.63,2026-01-10T13:01:33
ORDER_000000118_PAYMENT,ORDER_000000118,UPI,SUCCESS,9120.88,2026-04-05T13:37:12
ORDER_000000119_PAYMENT,ORDER_000000119,NET_BANKING,SUCCESS,18410.91,2026-06-25T21:49:40
ORDER_000000120_PAYMENT,ORDER_000000120,DEBIT_CARD,SUCCESS,122486.89,2026-06-14T23:14:34
ORDER_000000121_PAYMENT,ORDER_000000121,WALLET,SUCCESS,110952.48,2026-08-21T04:53:26
ORDER_000000122_PAYMENT,ORDER_000000122,UPI,SUCCESS,147489.47,2026-09-21T05:24:25
ORDER_000000123_PAYMENT,ORDER_000000123,DEBIT_CARD,SUCCESS,365557.41,2026-08-03T10:25:40
ORDER_000000124_PAYMENT,ORDER_000000124,DEBIT_CARD,SUCCESS,240695.38,2026-08-22T00:59:50
ORDER_000000125_PAYMENT,ORDER_000000125,UPI,SUCCESS,30547.93,2026-07-05T13:14:59
ORDER_000000126_PAYMENT,ORDER_000000126,UPI,SUCCESS,103768.78,2026-11-24T01:08:15
ORDER_000000127_PAYMENT,ORDER_000000127,UPI,SUCCESS,6511.91,2026-08-05T14:41:14
ORDER_000000128_PAYMENT,ORDER_000000128,DEBIT_CARD,SUCCESS,2991.26,2026-01-04T23:24:06
ORDER_000000129_PAYMENT,ORDER_000000129,NET_BANKING,SUCCESS,473064.78,2026-07-12T18:32:48
ORDER_000000130_PAYMENT,ORDER_000000130,CREDIT_CARD,SUCCESS,149916.64,2026-07-26T01:19:01
ORDER_000000131_PAYMENT,ORDER_000000131,UPI,SUCCESS,117891.34,2026-08-15T22:48:03
ORDER_000000132_PAYMENT,ORDER_000000132,NET_BANKING,SUCCESS,10232.78,2026-04-15T04:24:21
ORDER_000000133_PAYMENT,ORDER_000000133,UPI,SUCCESS,767904.42,2026-12-06T00:35:11
ORDER_000000134_PAYMENT,ORDER_000000134,NET_BANKING,SUCCESS,74907.07,2026-05-09T18:07:57
ORDER_000000135_PAYMENT,ORDER_000000135,UPI,SUCCESS,50872.93,2026-06-05T15:03:14
ORDER_000000136_PAYMENT,ORDER_000000136,DEBIT_CARD,SUCCESS,38844.69,2026-05-16T01:31:53
ORDER_000000137_PAYMENT,ORDER_000000137,WALLET,FAILED,233805.76,2026-06-28T01:31:06
ORDER_000000138_PAYMENT,ORDER_000000138,UPI,SUCCESS,15026.09,2026-08-17T06:35:40
ORDER_000000139_PAYMENT,ORDER_000000139,UPI,SUCCESS,635445.00,2026-06-09T12:24:58
ORDER_000000140_PAYMENT,ORDER_000000140,WALLET,SUCCESS,26994.76,2027-01-01T04:12:27
ORDER_000000141_PAYMENT,ORDER_000000141,WALLET,SUCCESS,213518.87,2026-02-13T17:49:36
ORDER_000000142_PAYMENT,ORDER_000000142,CREDIT_CARD,SUCCESS,7668.99,2026-08-30T01:30:42
ORDER_000000143_PAYMENT,ORDER_000000143,CREDIT_CARD,SUCCESS,146034.63,2026-06-19T01:59:36
ORDER_000000144_PAYMENT,ORDER_000000144,UPI,SUCCESS,39869.90,2026-07-23T13:39:32
ORDER_000000145_PAYMENT,ORDER_000000145,CREDIT_CARD,SUCCESS,369361.12,2026-04-06T03:38:29
ORDER_000000146_PAYMENT,ORDER_000000146,UPI,SUCCESS,60559.52,2026-09-12T09:14:35
ORDER_000000147_PAYMENT,ORDER_000000147,UPI,SUCCESS,31362.93,2026-08-05T03:23:57
ORDER_000000148_PAYMENT,ORDER_000000148,DEBIT_CARD,SUCCESS,22294.80,2026-03-22T05:35:40
ORDER_000000149_PAYMENT,ORDER_000000149,UPI,SUCCESS,384514.79,2026-01-04T15:14:35
ORDER_000000150_PAYMENT,ORDER_000000150,UPI,SUCCESS,53428.35,2026-08-09T07:44:20
ORDER_000000151_PAYMENT,ORDER_000000151,UPI,SUCCESS,397931.30,2026-08-27T10:10:06
ORDER_000000152_PAYMENT,ORDER_000000152,DEBIT_CARD,SUCCESS,104184.79,2026-03-22T13:37:34
ORDER_000000153_PAYMENT,ORDER_000000153,NET_BANKING,FAILED,170000.02,2026-11-10T14:58:02
ORDER_000000154_PAYMENT,ORDER_000000154,WALLET,SUCCESS,160442.88,2026-04-25T16:17:51
ORDER_000000155_PAYMENT,ORDER_000000155,UPI,SUCCESS,465582.30,2026-01-29T02:23:10
ORDER_000000156_PAYMENT,ORDER_000000156,DEBIT_CARD,SUCCESS,9531.93,2026-05-12T22:47:53
ORDER_000000157_PAYMENT,ORDER_000000157,UPI,SUCCESS,21473.04,2026-08-11T01:16:56
ORDER_000000158_PAYMENT,ORDER_000000158,UPI,SUCCESS,150238.72,2026-09-29T07:55:16
ORDER_000000159_PAYMENT,ORDER_000000159,UPI,SUCCESS,59065.36,2026-09-02T09:06:10
ORDER_000000160_PAYMENT,ORDER_000000160,NET_BANKING,SUCCESS,301961.04,2026-10-22T07:58:07
ORDER_000000161_PAYMENT,ORDER_000000161,CREDIT_CARD,SUCCESS,26126.44,2026-12-24T16:38:10
ORDER_000000162_PAYMENT,ORDER_000000162,UPI,SUCCESS,65971.00,2026-12-10T15:01:46
ORDER_000000163_PAYMENT,ORDER_000000163,CREDIT_CARD,SUCCESS,652340.65,2026-09-19T22:05:58
ORDER_000000164_PAYMENT,ORDER_000000164,UPI,SUCCESS,170374.39,2026-08-23T09:59:28
ORDER_000000165_PAYMENT,ORDER_000000165,UPI,SUCCESS,392843.66,2026-01-03T06:10:06
ORDER_000000166_PAYMENT,ORDER_000000166,UPI,SUCCESS,82049.26,2026-09-18T03:11:40
ORDER_000000167_PAYMENT,ORDER_000000167,DEBIT_CARD,SUCCESS,28281.04,2026-09-07T10:07:11
ORDER_000000168_PAYMENT,ORDER_000000168,WALLET,SUCCESS,135956.04,2026-07-13T09:29:34
ORDER_000000169_PAYMENT,ORDER_000000169,CREDIT_CARD,SUCCESS,150455.53,2026-01-05T06:21:23
ORDER_000000170_PAYMENT,ORDER_000000170,WALLET,SUCCESS,42137.10,2026-10-06T14:17:06
ORDER_000000171_PAYMENT,ORDER_000000171,CREDIT_CARD,SUCCESS,338237.68,2026-05-15T06:03:04
ORDER_000000172_PAYMENT,ORDER_000000172,NET_BANKING,SUCCESS,87899.18,2026-11-08T13:20:46
ORDER_000000173_PAYMENT,ORDER_000000173,UPI,SUCCESS,600592.69,2026-04-06T16:49:49
ORDER_000000174_PAYMENT,ORDER_000000174,CREDIT_CARD,SUCCESS,80400.30,2026-10-16T12:39:35
ORDER_000000175_PAYMENT,ORDER_000000175,UPI,SUCCESS,57301.61,2026-04-29T01:16:15
ORDER_000000176_PAYMENT,ORDER_000000176,NET_BANKING,SUCCESS,495888.70,2026-06-21T01:45:36
ORDER_000000177_PAYMENT,ORDER_000000177,UPI,SUCCESS,272682.85,2026-11-20T15:00:49
ORDER_000000178_PAYMENT,ORDER_000000178,CREDIT_CARD,SUCCESS,156604.53,2026-07-30T08:09:20
ORDER_000000179_PAYMENT,ORDER_000000179,NET_BANKING,SUCCESS,29019.54,2026-05-14T03:05:18
ORDER_000000180_PAYMENT,ORDER_000000180,DEBIT_CARD,SUCCESS,393113.70,2026-09-01T13:58:55
ORDER_000000181_PAYMENT,ORDER_000000181,UPI,FAILED,126156.68,2026-01-30T16:15:10
ORDER_000000182_PAYMENT,ORDER_000000182,UPI,SUCCESS,108863.04,2026-01-26T13:31:51
ORDER_000000183_PAYMENT,ORDER_000000183,UPI,SUCCESS,415618.45,2026-05-11T09:11:59
ORDER_000000184_PAYMENT,ORDER_000000184,UPI,FAILED,317327.13,2026-08-03T20:30:51
ORDER_000000185_PAYMENT,ORDER_000000185,UPI,SUCCESS,39213.15,2026-03-10T21:11:25
ORDER_000000186_PAYMENT,ORDER_000000186,CREDIT_CARD,SUCCESS,32247.30,2026-01-15T13:47:11
ORDER_000000187_PAYMENT,ORDER_000000187,CREDIT_CARD,SUCCESS,71931.76,2026-01-10T13:48:20
ORDER_000000188_PAYMENT,ORDER_000000188,WALLET,SUCCESS,31394.97,2026-01-31T00:44:51
ORDER_000000189_PAYMENT,ORDER_000000189,NET_BANKING,SUCCESS,34881.28,2026-09-15T02:06:51
ORDER_000000190_PAYMENT,ORDER_000000190,WALLET,SUCCESS,321988.34,2026-12-23T03:30:10
ORDER_000000191_PAYMENT,ORDER_000000191,UPI,SUCCESS,306946.82,2026-12-31T01:16:10
ORDER_000000192_PAYMENT,ORDER_000000192,UPI,SUCCESS,57220.68,2026-08-18T00:01:13
ORDER_000000193_PAYMENT,ORDER_000000193,UPI,SUCCESS,56961.40,2026-11-02T08:10:17
ORDER_000000194_PAYMENT,ORDER_000000194,UPI,SUCCESS,188635.32,2026-07-01T03:19:38
ORDER_000000195_PAYMENT,ORDER_000000195,NET_BANKING,SUCCESS,726475.49,2026-08-06T22:16:20
ORDER_000000196_PAYMENT,ORDER_000000196,UPI,SUCCESS,37613.00,2026-10-02T08:35:19
ORDER_000000197_PAYMENT,ORDER_000000197,UPI,SUCCESS,53199.68,2026-11-16T19:17:46
ORDER_000000198_PAYMENT,ORDER_000000198,UPI,SUCCESS,14876.14,2026-05-12T23:10:34
ORDER_000000199_PAYMENT,ORDER_000000199,UPI,SUCCESS,21852.12,2026-11-09T05:29:24
ORDER_000000200_PAYMENT,ORDER_000000200,CREDIT_CARD,SUCCESS,9030.14,2026-07-22T18:09:24
ORDER_000000201_PAYMENT,ORDER_000000201,DEBIT_CARD,SUCCESS,308171.58,2026-04-04T07:53:56
ORDER_000000202_PAYMENT,ORDER_000000202,WALLET,SUCCESS,541281.49,2026-10-18T06:37:41
ORDER_000000203_PAYMENT,ORDER_000000203,UPI,SUCCESS,151148.78,2026-04-25T10:25:15
ORDER_000000204_PAYMENT,ORDER_000000204,CREDIT_CARD,SUCCESS,246816.17,2026-04-18T06:52:31
ORDER_000000205_PAYMENT,ORDER_000000205,UPI,SUCCESS,544406.80,2026-07-11T19:27:25
ORDER_000000206_PAYMENT,ORDER_000000206,DEBIT_CARD,SUCCESS,7205.00,2026-03-15T07:01:27
ORDER_000000207_PAYMENT,ORDER_000000207,UPI,FAILED,20292.38,2026-07-17T20:28:28
ORDER_000000208_PAYMENT,ORDER_000000208,UPI,SUCCESS,300199.10,2026-05-17T11:17:42
ORDER_000000209_PAYMENT,ORDER_000000209,WALLET,SUCCESS,64382.33,2026-02-20T12:24:55
ORDER_000000210_PAYMENT,ORDER_000000210,UPI,SUCCESS,83267.58,2026-01-15T11:17:10
ORDER_000000211_PAYMENT,ORDER_000000211,CREDIT_CARD,SUCCESS,238331.31,2026-09-18T13:45:41
ORDER_000000212_PAYMENT,ORDER_000000212,UPI,SUCCESS,17196.41,2026-04-13T12:57:02
ORDER_000000213_PAYMENT,ORDER_000000213,CREDIT_CARD,SUCCESS,582031.48,2026-05-16T19:23:51
ORDER_000000214_PAYMENT,ORDER_000000214,DEBIT_CARD,SUCCESS,470470.46,2026-09-16T14:19:53
ORDER_000000215_PAYMENT,ORDER_000000215,DEBIT_CARD,SUCCESS,229979.60,2026-10-13T03:02:37
ORDER_000000216_PAYMENT,ORDER_000000216,UPI,SUCCESS,69880.15,2027-01-01T11:42:08
ORDER_000000217_PAYMENT,ORDER_000000217,WALLET,SUCCESS,35010.02,2026-10-13T02:44:09
ORDER_000000218_PAYMENT,ORDER_000000218,DEBIT_CARD,SUCCESS,272031.08,2026-01-22T13:16:06
ORDER_000000219_PAYMENT,ORDER_000000219,NET_BANKING,SUCCESS,4682.72,2026-09-13T13:12:23
ORDER_000000220_PAYMENT,ORDER_000000220,NET_BANKING,SUCCESS,349962.45,2026-11-11T14:01:08
ORDER_000000221_PAYMENT,ORDER_000000221,UPI,SUCCESS,13035.71,2026-12-16T16:35:09
ORDER_000000222_PAYMENT,ORDER_000000222,UPI,SUCCESS,107699.62,2026-11-08T12:10:42
ORDER_000000223_PAYMENT,ORDER_000000223,DEBIT_CARD,SUCCESS,9442.41,2026-07-29T00:42:53
ORDER_000000224_PAYMENT,ORDER_000000224,WALLET,SUCCESS,13462.12,2026-05-10T21:00:23
ORDER_000000225_PAYMENT,ORDER_000000225,UPI,SUCCESS,324300.32,2026-08-27T02:12:36
ORDER_000000226_PAYMENT,ORDER_000000226,UPI,SUCCESS,524817.11,2026-11-27T00:05:49
ORDER_000000227_PAYMENT,ORDER_000000227,CREDIT_CARD,SUCCESS,112009.02,2026-08-17T03:44:03
ORDER_000000228_PAYMENT,ORDER_000000228,CREDIT_CARD,SUCCESS,103067.24,2026-08-17T07:46:27
ORDER_000000229_PAYMENT,ORDER_000000229,UPI,SUCCESS,625528.00,2026-07-16T20:10:45
ORDER_000000230_PAYMENT,ORDER_000000230,NET_BANKING,SUCCESS,101538.75,2026-07-13T02:49:08
ORDER_000000231_PAYMENT,ORDER_000000231,CREDIT_CARD,SUCCESS,164758.07,2026-12-06T19:08:39
ORDER_000000232_PAYMENT,ORDER_000000232,DEBIT_CARD,SUCCESS,111442.53,2026-06-29T07:49:01
ORDER_000000233_PAYMENT,ORDER_000000233,UPI,SUCCESS,138553.16,2026-07-15T14:04:03
ORDER_000000234_PAYMENT,ORDER_000000234,NET_BANKING,SUCCESS,44269.06,2026-09-30T04:58:23
ORDER_000000235_PAYMENT,ORDER_000000235,DEBIT_CARD,SUCCESS,348025.04,2026-06-18T11:44:25
ORDER_000000236_PAYMENT,ORDER_000000236,CREDIT_CARD,SUCCESS,122639.33,2026-05-21T07:36:17
ORDER_000000237_PAYMENT,ORDER_000000237,UPI,SUCCESS,309375.27,2026-04-03T20:34:47
ORDER_000000238_PAYMENT,ORDER_000000238,DEBIT_CARD,SUCCESS,44108.84,2026-04-18T13:30:30
ORDER_000000239_PAYMENT,ORDER_000000239,UPI,SUCCESS,104495.02,2026-07-29T13:28:37
ORDER_000000240_PAYMENT,ORDER_000000240,NET_BANKING,SUCCESS,209334.76,2026-09-20T10:32:09
ORDER_000000241_PAYMENT,ORDER_000000241,UPI,SUCCESS,399994.68,2026-12-25T10:24:23
ORDER_000000242_PAYMENT,ORDER_000000242,CREDIT_CARD,SUCCESS,39713.32,2026-12-29T04:13:39
ORDER_000000243_PAYMENT,ORDER_000000243,CREDIT_CARD,SUCCESS,6793.00,2026-04-04T20:54:01
ORDER_000000244_PAYMENT,ORDER_000000244,UPI,FAILED,368806.10,2026-07-18T05:30:27
ORDER_000000245_PAYMENT,ORDER_000000245,CREDIT_CARD,SUCCESS,184735.01,2026-07-14T02:44:40
ORDER_000000246_PAYMENT,ORDER_000000246,UPI,SUCCESS,210215.05,2026-11-24T15:11:06
