id,order_id,return_reason,return_status,return_date
ORDER_000000319_RETURN,ORDER_000000319,DAMAGED,APPROVED,2026-05-31T18:04:23
ORDER_000000363_RETURN,ORDER_000000363,NOT_AS_EXPECTED,REQUESTED,2026-04-10T10:29:36
ORDER_000000365_RETURN,ORDER_000000365,WRONG_ITEM,RECEIVED,2026-06-06T16:52:05
ORDER_000000416_RETURN,ORDER_000000416,WRONG_ITEM,RECEIVED,2026-11-19T16:59:02
ORDER_000000433_RETURN,ORDER_000000433,CHANGED_MIND,REJECTED,2026-01-23T13:22:14
ORDER_000000442_RETURN,ORDER_000000442,WRONG_ITEM,APPROVED,2026-06-29T03:24:48
ORDER_000000449_RETURN,ORDER_000000449,WRONG_ITEM,REQUESTED,2026-04-23T01:20:37
ORDER_000000467_RETURN,ORDER_000000467,SIZE_ISSUE,REJECTED,2026-03-16T11:43:52
ORDER_000000492_RETURN,ORDER_000000492,WRONG_ITEM,APPROVED,2026-08-08T13:53:44
ORDER_000000495_RETURN,ORDER_000000495,SIZE_ISSUE,REJECTED,2026-08-17T08:10:28
ORDER_000000504_RETURN,ORDER_000000504,NOT_AS_EXPECTED,RECEIVED,2026-10-23T06:10:33
ORDER_000000534_RETURN,ORDER_000000534,NOT_AS_EXPECTED,REQUESTED,2026-10-12T13:13:43
ORDER_000000542_RETURN,ORDER_000000542,WRONG_ITEM,RECEIVED,2026-12-09T01:18:58
ORDER_000000551_RETURN,ORDER_000000551,SIZE_ISSUE,RECEIVED,2026-11-24T06:31:07
ORDER_000000576_RETURN,ORDER_000000576,DAMAGED,RECEIVED,2027-01-15T01:27:40
ORDER_000000595_RETURN,ORDER_000000595,CHANGED_MIND,REQUESTED,2026-12-12T09:26:36
ORDER_000000619_RETURN,ORDER_000000619,CHANGED_MIND,RECEIVED,2026-08-28T22:02:25
ORDER_000000660_RETURN,ORDER_000000660,CHANGED_MIND,REFUNDED,2026-01-29T18:36:47
ORDER_000000664_RETURN,ORDER_000000664,WRONG_ITEM,APPROVED,2026-04-25T11:41:06
ORDER_000000683_RETURN,ORDER_000000683,DAMAGED,RECEIVED,2026-09-26T09:11:38
ORDER_000000747_RETURN,ORDER_000000747,NOT_AS_EXPECTED,REJECTED,2026-04-18T00:56:51
ORDER_000000760_RETURN,ORDER_000000760,DAMAGED,REJECTED,2026-03-30T19:56:20
ORDER_000000769_RETURN,ORDER_000000769,DAMAGED,REFUNDED,2026-03-13T16:21:29
ORDER_000000784_RETURN,ORDER_000000784,CHANGED_MIND,RECEIVED,2026-12-27T02:04:43
ORDER_000000802_RETURN,ORDER_000000802,DAMAGED,REJECTED,2026-10-20T13:46:57
ORDER_000000824_RETURN,ORDER_000000824,DAMAGED,APPROVED,2026-01-24T03:53:07
ORDER_000000825_RETURN,ORDER_000000825,DAMAGED,APPROVED,2026-08-14T03:32:47
ORDER_000000872_RETURN,ORDER_000000872,NOT_AS_EXPECTED,REJECTED,2026-10-20T04:27:07
ORDER_000000882_RETURN,ORDER_000000882,DAMAGED,APPROVED,2027-01-09T10:06:43
ORDER_000000887_RETURN,ORDER_000000887,WRONG_ITEM,REQUESTED,2026-11-22T02:48:16
ORDER_000000906_RETURN,ORDER_000000906,DAMAGED,APPROVED,2026-12-04T03:27:03
ORDER_000000923_RETURN,ORDER_000000923,SIZE_ISSUE,APPROVED,2026-08-20T18:16:54
ORDER_000000964_RETURN,ORDER_000000964,NOT_AS_EXPECTED,APPROVED,2026-12-06T13:17:51
ORDER_000000969_RETURN,ORDER_000000969,NOT_AS_EXPECTED,RECEIVED,2026-04-02T22:23:18
ORDER_000001018_RETURN,ORDER_000001018,NOT_AS_EXPECTED,REJECTED,2026-12-06T21:00:09
ORDER_000001021_RETURN,ORDER_000001021,WRONG_ITEM,REJECTED,2026-11-19T20:13:38
ORDER_000001043_RETURN,ORDER_000001043,CHANGED_MIND,REJECTED,2026-11-23T19:50:14
ORDER_000001063_RETURN,ORDER_000001063,DAMAGED,APPROVED,2026-05-28T13:59:19
ORDER_000001064_RETURN,ORDER_000001064,CHANGED_MIND,APPROVED,2026-04-16T14:14:59
ORDER_000001076_RETURN,ORDER_000001076,SIZE_ISSUE,REJECTED,2026-08-07T15:03:41
ORDER_000001079_RETURN,ORDER_000001079,DAMAGED,RECEIVED,2026-06-09T06:56:57
ORDER_000001081_RETURN,ORDER_000001081,DAMAGED,REJECTED,2026-02-05T22:27:43
ORDER_000001083_RETURN,ORDER_000001083,DAMAGED,REFUNDED,2027-01-20T07:28:29
ORDER_000001086_RETURN,ORDER_000001086,SIZE_ISSUE,APPROVED,2026-08-03T05:36:49
ORDER_000001169_RETURN,ORDER_000001169,CHANGED_MIND,APPROVED,2026-09-10T08:08:28
ORDER_000001175_RETURN,ORDER_000001175,DAMAGED,REFUNDED,2026-09-14T11:51:37
ORDER_000001202_RETURN,ORDER_000001202,NOT_AS_EXPECTED,REJECTED,2026-07-10T10:33:57
ORDER_000001304_RETURN,ORDER_000001304,WRONG_ITEM,REFUNDED,2026-10-23T22:55:58
ORDER_000001312_RETURN,ORDER_000001312,WRONG_ITEM,RECEIVED,2026-09-29T13:14:56
ORDER_000001427_RETURN,ORDER_000001427,DAMAGED,REJECTED,2026-09-25T10:22:04
ORDER_000001431_RETURN,ORDER_000001431,DAMAGED,REQUESTED,2026-07-22T17:52:14
ORDER_000001447_RETURN,ORDER_000001447,DAMAGED,REJECTED,2027-01-08T18:54:15
ORDER_000001481_RETURN,ORDER_000001481,DAMAGED,REJECTED,2026-08-26T06:58:43
ORDER_000001492_RETURN,ORDER_000001492,NOT_AS_EXPECTED,APPROVED,2026-10-12T00:24:15
ORDER_000001553_RETURN,ORDER_000001553,WRONG_ITEM,APPROVED,2026-09-19T01:08:26
ORDER_000001617_RETURN,ORDER_000001617,SIZE_ISSUE,REJECTED,2026-11-28T08:11:21
ORDER_000001631_RETURN,ORDER_000001631,DAMAGED,APPROVED,2026-05-23T10:20:40
ORDER_000001693_RETURN,ORDER_000001693,WRONG_ITEM,REJECTED,2026-04-01T10:39:29
ORDER_000001709_RETURN,ORDER_000001709,NOT_AS_EXPECTED,REFUNDED,2026-10-10T05:07:36
ORDER_000001761_RETURN,ORDER_000001761,NOT_AS_EXPECTED,REFUNDED,2026-06-19T14:40:48
ORDER_000001767_RETURN,ORDER_000001767,SIZE_ISSUE,REQUESTED,2026-07-28T02:49:56
ORDER_000001785_RETURN,ORDER_000001785,WRONG_ITEM,APPROVED,2026-05-31T09:03:47
ORDER_000001829_RETURN,ORDER_000001829,DAMAGED,REJECTED,2026-07-26T05:05:16
ORDER_000001834_RETURN,ORDER_000001834,SIZE_ISSUE,REQUESTED,2026-07-09T22:58:44
ORDER_000001871_RETURN,ORDER_000001871,NOT_AS_EXPECTED,APPROVED,2026-05-13T16:17:12
ORDER_000001880_RETURN,ORDER_000001880,WRONG_ITEM,REFUNDED,2026-06-01T23:06:20
ORDER_000001884_RETURN,ORDER_000001884,CHANGED_MIND,REJECTED,2026-04-05T11:10
ORDER_000001898_RETURN,ORDER_000001898,WRONG_ITEM,REJECTED,2026-08-23T07:42:08
ORDER_000001935_RETURN,ORDER_000001935,WRONG_ITEM,RECEIVED,2026-08-09T21:50:46
ORDER_000001958_RETURN,ORDER_000001958,SIZE_ISSUE,RECEIVED,2026-06-21T22:01:38
ORDER_000001981_RETURN,ORDER_000001981,WRONG_ITEM,RECEIVED,2026-01-25T01:39:08
ORDER_000002004_RETURN,ORDER_000002004,CHANGED_MIND,REQUESTED,2026-06-20T12:19:03
ORDER_000002019_RETURN,ORDER_000002019,CHANGED_MIND,RECEIVED,2026-12-29T22:31:26
ORDER_000002027_RETURN,ORDER_000002027,DAMAGED,APPROVED,2026-08-19T06:05:44
ORDER_000002060_RETURN,ORDER_000002060,CHANGED_MIND,APPROVED,2026-08-01T14:27:22
ORDER_000002086_RETURN,ORDER_000002086,SIZE_ISSUE,APPROVED,2026-07-11T10:15:22
ORDER_000002099_RETURN,ORDER_000002099,DAMAGED,REQUESTED,2026-05-22T14:33:27
ORDER_000002111_RETURN,ORDER_000002111,DAMAGED,APPROVED,2026-10-22T20:52:54
ORDER_000002120_RETURN,ORDER_000002120,DAMAGED,APPROVED,2026-04-25T04:55:21
ORDER_000002129_RETURN,ORDER_000002129,DAMAGED,APPROVED,2026-11-01T01:04:30
ORDER_000002149_RETURN,ORDER_000002149,DAMAGED,REQUESTED,2026-05-20T21:18:04
ORDER_000002153_RETURN,ORDER_000002153,WRONG_ITEM,APPROVED,2027-01-19T06:24:36
ORDER_000002164_RETURN,ORDER_000002164,CHANGED_MIND,APPROVED,2026-11-06T16:55:23
ORDER_000002179_RETURN,ORDER_000002179,WRONG_ITEM,REFUNDED,2026-12-11T07:49:32
ORDER_000002259_RETURN,ORDER_000002259,NOT_AS_EXPECTED,REFUNDED,2026-06-06T08:12:36
ORDER_000002346_RETURN,ORDER_000002346,CHANGED_MIND,APPROVED,2026-09-01T21:39:14
ORDER_000002365_RETURN,ORDER_000002365,NOT_AS_EXPECTED,REQUESTED,2026-07-16T00:24:13
ORDER_000002385_RETURN,ORDER_000002385,DAMAGED,REJECTED,2026-07-05T01:59:42
ORDER_000002393_RETURN,ORDER_000002393,DAMAGED,APPROVED,2026-03-12T06:38:41
ORDER_000002401_RETURN,ORDER_000002401,WRONG_ITEM,RECEIVED,2026-05-14T05:13:04
ORDER_000002413_RETURN,ORDER_000002413,WRONG_ITEM,REFUNDED,2026-08-02T08:23:42
ORDER_000002425_RETURN,ORDER_000002425,CHANGED_MIND,REJECTED,2026-11-20T14:43:49
ORDER_000002452_RETURN,ORDER_000002452,NOT_AS_EXPECTED,REFUNDED,2026-06-19T18:49:07
ORDER_000002473_RETURN,ORDER_000002473,NOT_AS_EXPECTED,REFUNDED,2026-02-23T20:38:35
ORDER_000002527_RETURN,ORDER_000002527,NOT_AS_EXPECTED,REFUNDED,2026-09-10T22:27:30
ORDER_000002546_RETURN,ORDER_000002546,SIZE_ISSUE,APPROVED,2026-03-20T18:09:42
ORDER_000002547_RETURN,ORDER_000002547,NOT_AS_EXPECTED,APPROVED,2026-01-26T02:38:33
ORDER_000002573_RETURN,ORDER_000002573,WRONG_ITEM,REQUESTED,2026-01-24T23:00:19
ORDER_000002579_RETURN,ORDER_000002579,CHANGED_MIND,REJECTED,2026-02-15T17:35:43
ORDER_000002582_RETURN,ORDER_000002582,SIZE_ISSUE,RECEIVED,2026-05-22T05:55:34
ORDER_000002586_RETURN,ORDER_000002586,CHANGED_MIND,APPROVED,2026-12-27T04:22:38
ORDER_000002608_RETURN,ORDER_000002608,WRONG_ITEM,REJECTED,2026-12-07T07:03:37
ORDER_000002629_RETURN,ORDER_000002629,CHANGED_MIND,REFUNDED,2026-06-22T11:32:18
ORDER_000002691_RETURN,ORDER_000002691,DAMAGED,REFUNDED,2026-12-15T03:58:34
ORDER_000002694_RETURN,ORDER_000002694,WRONG_ITEM,APPROVED,2026-12-02T18:03:45
ORDER_000002697_RETURN,ORDER_000002697,DAMAGED,APPROVED,2026-06-23T10:49:59
ORDER_000002718_RETURN,ORDER_000002718,DAMAGED,RECEIVED,2026-09-15T09:41:16
ORDER_000002723_RETURN,ORDER_000002723,CHANGED_MIND,REQUESTED,2026-08-29T11:00:06
ORDER_000002787_RETURN,ORDER_000002787,SIZE_ISSUE,RECEIVED,2026-04-15T06:05:40
ORDER_000002805_RETURN,ORDER_000002805,DAMAGED,REQUESTED,2026-10-29T13:04:06
ORDER_000002807_RETURN,ORDER_000002807,CHANGED_MIND,REFUNDED,2026-04-12T15:28:05
ORDER_000002816_RETURN,ORDER_000002816,DAMAGED,RECEIVED,2026-10-31T13:20:56
ORDER_000002830_RETURN,ORDER_000002830,SIZE_ISSUE,RECEIVED,2026-05-02T13:22:30
ORDER_000002833_RETURN,ORDER_000002833,SIZE_ISSUE,REJECTED,2026-12-15T16:22:03
ORDER_000002846_RETURN,ORDER_000002846,SIZE_ISSUE,RECEIVED,2026-02-20T00:45:18
ORDER_000002872_RETURN,ORDER_000002872,WRONG_ITEM,REJECTED,2026-02-12T07:52:11
ORDER_000002903_RETURN,ORDER_000002903,NOT_AS_EXPECTED,APPROVED,2027-01-01T00:54:33
ORDER_000002938_RETURN,ORDER_000002938,WRONG_ITEM,RECEIVED,2026-10-04T15:27:59
ORDER_000002948_RETURN,ORDER_000002948,CHANGED_MIND,REJECTED,2026-07-15T13:43:42
ORDER_000002956_RETURN,ORDER_000002956,CHANGED_MIND,REQUESTED,2026-09-08T22:13:43
ORDER_000002963_RETURN,ORDER_000002963,SIZE_ISSUE,REJECTED,2026-09-22T06:19:33
ORDER_000002980_RETURN,ORDER_000002980,DAMAGED,REJECTED,2026-06-15T16:46:07
ORDER_000002981_RETURN,ORDER_000002981,SIZE_ISSUE,RECEIVED,2026-03-10T03:20
ORDER_000002984_RETURN,ORDER_000002984,NOT_AS_EXPECTED,REJECTED,2026-12-14T22:31:14
ORDER_000003006_RETURN,ORDER_000003006,DAMAGED,REQUESTED,2026-10-29T00:45:42
ORDER_000003027_RETURN,ORDER_000003027,DAMAGED,REJECTED,2026-10-27T07:28:37
ORDER_000003103_RETURN,ORDER_000003103,WRONG_ITEM,APPROVED,2026-05-08T09:12:16
ORDER_000003147_RETURN,ORDER_000003147,WRONG_ITEM,RECEIVED,2026-06-19T08:11:10
ORDER_000003176_RETURN,ORDER_000003176,SIZE_ISSUE,REQUESTED,2026-01-17T07:50:19
ORDER_000003177_RETURN,ORDER_000003177,WRONG_ITEM,REFUNDED,2026-11-11T22:51:56
ORDER_000003181_RETURN,ORDER_000003181,NOT_AS_EXPECTED,REQUESTED,2026-08-17T12:17:57
ORDER_000003204_RETURN,ORDER_000003204,DAMAGED,REQUESTED,2026-05-15T05:16:41
ORDER_000003219_RETURN,ORDER_000003219,SIZE_ISSUE,RECEIVED,2026-12-02T16:28:03
ORDER_000003247_RETURN,ORDER_000003247,WRONG_ITEM,REQUESTED,2026-03-29T10:31:09
ORDER_000003261_RETURN,ORDER_000003261,DAMAGED,REJECTED,2026-03-05T08:41:42
ORDER_000003265_RETURN,ORDER_000003265,NOT_AS_EXPECTED,REQUESTED,2026-10-09T03:38:53
ORDER_000003284_RETURN,ORDER_000003284,SIZE_ISSUE,RECEIVED,2026-06-23T20:24:23
ORDER_000003309_RETURN,ORDER_000003309,DAMAGED,APPROVED,2026-11-24T22:27:12
ORDER_000003343_RETURN,ORDER_000003343,NOT_AS_EXPECTED,RECEIVED,2027-01-08T12:55:46
ORDER_000003351_RETURN,ORDER_000003351,WRONG_ITEM,RECEIVED,2026-08-20T03:22:52
ORDER_000003370_RETURN,ORDER_000003370,DAMAGED,REFUNDED,2026-02-27T21:56:22
ORDER_000003379_RETURN,ORDER_000003379,SIZE_ISSUE,REJECTED,2026-08-23T00:29:05
ORDER_000003387_RETURN,ORDER_000003387,CHANGED_MIND,REQUESTED,2026-06-06T07:54:02
ORDER_000003395_RETURN,ORDER_000003395,WRONG_ITEM,RECEIVED,2026-09-08T17:00:22
ORDER_000003407_RETURN,ORDER_000003407,DAMAGED,REJECTED,2026-05-11T12:50:34
ORDER_000003410_RETURN,ORDER_000003410,CHANGED_MIND,RECEIVED,2026-11-22T14:46:05
ORDER_000003414_RETURN,ORDER_000003414,SIZE_ISSUE,RECEIVED,2026-06-04T13:58:38
ORDER_000003416_RETURN,ORDER_000003416,CHANGED_MIND,APPROVED,2027-01-01T12:20:23
ORDER_000003428_RETURN,ORDER_000003428,CHANGED_MIND,REQUESTED,2026-04-22T23:59:57
ORDER_000003445_RETURN,ORDER_000003445,SIZE_ISSUE,REFUNDED,2026-02-15T15:17:51
ORDER_000003463_RETURN,ORDER_000003463,CHANGED_MIND,REFUNDED,2026-07-11T22:48:56
ORDER_000003481_RETURN,ORDER_000003481,SIZE_ISSUE,REQUESTED,2026-01-18T10:39:01
ORDER_000003511_RETURN,ORDER_000003511,WRONG_ITEM,REJECTED,2027-01-21T00:36:06
ORDER_000003518_RETURN,ORDER_000003518,DAMAGED,REQUESTED,2026-02-26T19:37:07
ORDER_000003525_RETURN,ORDER_000003525,NOT_AS_EXPECTED,APPROVED,2026-08-05T07:54:44
ORDER_000003534_RETURN,ORDER_000003534,SIZE_ISSUE,APPROVED,2026-12-09T16:24:42
ORDER_000003536_RETURN,ORDER_000003536,NOT_AS_EXPECTED,RECEIVED,2026-12-23T09:18:54
ORDER_000003545_RETURN,ORDER_000003545,CHANGED_MIND,APPROVED,2026-07-21T02:22:50
ORDER_000003585_RETURN,ORDER_000003585,NOT_AS_EXPECTED,APPROVED,2026-06-12T16:23:19
ORDER_000003669_RETURN,ORDER_000003669,NOT_AS_EXPECTED,RECEIVED,2026-05-20T02:21:14
ORDER_000003716_RETURN,ORDER_000003716,DAMAGED,REQUESTED,2026-09-15T11:41:55
ORDER_000003773_RETURN,ORDER_000003773,WRONG_ITEM,RECEIVED,2026-02-12T11:47:40
ORDER_000003796_RETURN,ORDER_000003796,SIZE_ISSUE,REFUNDED,2026-06-05T07:15:42
ORDER_000003797_RETURN,ORDER_000003797,DAMAGED,REFUNDED,2026-04-19T17:27:27
ORDER_000003802_RETURN,ORDER_000003802,SIZE_ISSUE,APPROVED,2026-05-08T18:00:48
ORDER_000003828_RETURN,ORDER_000003828,NOT_AS_EXPECTED,REQUESTED,2026-03-02T01:02:12
ORDER_000003894_RETURN,ORDER_000003894,WRONG_ITEM,APPROVED,2026-11-11T02:46:52
ORDER_000003902_RETURN,ORDER_000003902,WRONG_ITEM,RECEIVED,2026-08-25T06:29:17
ORDER_000003928_RETURN,ORDER_000003928,SIZE_ISSUE,REFUNDED,2027-01-14T23:51:30
ORDER_000003970_RETURN,ORDER_000003970,SIZE_ISSUE,REJECTED,2026-10-25T03:45:19
ORDER_000004016_RETURN,ORDER_000004016,CHANGED_MIND,RECEIVED,2026-08-13T03:32:59
ORDER_000004018_RETURN,ORDER_000004018,WRONG_ITEM,RECEIVED,2026-08-16T00:15:11
ORDER_000004019_RETURN,ORDER_000004019,NOT_AS_EXPECTED,APPROVED,2026-07-08T10:14:20
ORDER_000004035_RETURN,ORDER_000004035,DAMAGED,REQUESTED,2026-11-06T02:11:49
ORDER_000004051_RETURN,ORDER_000004051,SIZE_ISSUE,REQUESTED,2026-06-05T19:58:13
ORDER_000004112_RETURN,ORDER_000004112,WRONG_ITEM,REQUESTED,2026-03-20T03:15:54
ORDER_000004152_RETURN,ORDER_000004152,SIZE_ISSUE,RECEIVED,2026-03-15T14:26:16
ORDER_000004157_RETURN,ORDER_000004157,SIZE_ISSUE,RECEIVED,2026-08-05T06:42:39
ORDER_000004179_RETURN,ORDER_000004179,SIZE_ISSUE,RECEIVED,2026-06-13T12:30:28
ORDER_000004180_RETURN,ORDER_000004180,CHANGED_MIND,REFUNDED,2026-09-25T02:54:05
ORDER_000004195_RETURN,ORDER_000004195,SIZE_ISSUE,REFUNDED,2026-04-17T16:31:48
ORDER_000004217_RETURN,ORDER_000004217,WRONG_ITEM,APPROVED,2026-09-30T07:56:49
ORDER_000004220_RETURN,ORDER_000004220,CHANGED_MIND,RECEIVED,2026-02-10T08:20:22
ORDER_000004235_RETURN,ORDER_000004235,CHANGED_MIND,APPROVED,2026-01-24T02:28:33
ORDER_000004319_RETURN,ORDER_000004319,CHANGED_MIND,APPROVED,2026-07-09T22:43:44
ORDER_000004331_RETURN,ORDER_000004331,NOT_AS_EXPECTED,RECEIVED,2026-06-09T12:29:50
ORDER_000004407_RETURN,ORDER_000004407,WRONG_ITEM,REJECTED,2027-01-13T10:19:58
ORDER_000004410_RETURN,ORDER_000004410,SIZE_ISSUE,REFUNDED,2026-04-12T00:15:17
ORDER_000004418_RETURN,ORDER_000004418,DAMAGED,REJECTED,2026-07-09T05:18:09
ORDER_000004424_RETURN,ORDER_000004424,NOT_AS_EXPECTED,RECEIVED,2026-10-23T20:11:48
ORDER_000004448_RETURN,ORDER_000004448,SIZE_ISSUE,REFUNDED,2026-09-12T18:40:18
ORDER_000004463_RETURN,ORDER_000004463,CHANGED_MIND,APPROVED,2026-12-18T16:07:49
ORDER_000004494_RETURN,ORDER_000004494,WRONG_ITEM,REFUNDED,2026-06-23T21:22:57
ORDER_000004528_RETURN,ORDER_000004528,SIZE_ISSUE,REJECTED,2026-05-18T08:44:24
ORDER_000004530_RETURN,ORDER_000004530,SIZE_ISSUE,APPROVED,2026-11-06T05:05
ORDER_000004551_RETURN,ORDER_000004551,DAMAGED,REFUNDED,2026-10-17T19:19:35
ORDER_000004583_RETURN,ORDER_000004583,SIZE_ISSUE,REQUESTED,2027-01-09T23:05:50
ORDER_000004593_RETURN,ORDER_000004593,WRONG_ITEM,APPROVED,2026-10-22T14:09:38
ORDER_000004602_RETURN,ORDER_000004602,SIZE_ISSUE,REFUNDED,2026-04-19T21:46:09
ORDER_000004648_RETURN,ORDER_000004648,NOT_AS_EXPECTED,REFUNDED,2026-08-12T08:12:31
ORDER_000004659_RETURN,ORDER_000004659,CHANGED_MIND,REFUNDED,2026-06-13T13:02:24
ORDER_000004663_RETURN,ORDER_000004663,DAMAGED,REFUNDED,2026-07-10T09:09:54
ORDER_000004666_RETURN,ORDER_000004666,CHANGED_MIND,APPROVED,2026-06-04T15:49:09
ORDER_000004673_RETURN,ORDER_000004673,CHANGED_MIND,REJECTED,2027-01-03T06:43:19
ORDER_000004720_RETURN,ORDER_000004720,CHANGED_MIND,REQUESTED,2026-02-19T08:14:48
ORDER_000004733_RETURN,ORDER_000004733,CHANGED_MIND,RECEIVED,2026-06-07T06:53:57
ORDER_000004743_RETURN,ORDER_000004743,SIZE_ISSUE,RECEIVED,2026-02-09T16:59:18
ORDER_000004779_RETURN,ORDER_000004779,SIZE_ISSUE,REQUESTED,2026-04-16T17:30:55
ORDER_000004791_RETURN,ORDER_000004791,DAMAGED,RECEIVED,2026-06-07T15:21:49
ORDER_000004810_RETURN,ORDER_000004810,CHANGED_MIND,APPROVED,2026-02-24T03:43:58
ORDER_000004846_RETURN,ORDER_000004846,NOT_AS_EXPECTED,APPROVED,2026-02-25T23:03:27
ORDER_000004853_RETURN,ORDER_000004853,DAMAGED,REJECTED,2026-08-11T05:05:12
ORDER_000004859_RETURN,ORDER_000004859,CHANGED_MIND,REJECTED,2026-01-20T14:17:16
ORDER_000004909_RETURN,ORDER_000004909,DAMAGED,REFUNDED,2026-11-29T09:21:31
ORDER_000004932_RETURN,ORDER_000004932,NOT_AS_EXPECTED,REFUNDED,2026-03-30T05:05:48
ORDER_000004942_RETURN,ORDER_000004942,SIZE_ISSUE,REQUESTED,2027-01-06T04:37:12
ORDER_000004963_RETURN,ORDER_000004963,CHANGED_MIND,RECEIVED,2026-12-09T01:41:47
ORDER_000004966_RETURN,ORDER_000004966,DAMAGED,APPROVED,2026-10-28T03:58:24
ORDER_000004970_RETURN,ORDER_000004970,NOT_AS_EXPECTED,REQUESTED,2026-02-02T22:02:28
ORDER_000004976_RETURN,ORDER_000004976,DAMAGED,APPROVED,2026-03-24T16:53:55
